"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Dubr",4.51319250961936,3.51769310877693,11.2382443651963,0.000801289149863603,0.136360922018711,"preoligoBYo",22.8352789707327
"Rgs16",4.55234167992953,3.95090896628131,10.2763804426615,0.00134744021509836,0.198274689849288,"preoligoBYo",23.4634244049542
"Ttyh2",4.59233780710996,4.27541149679921,10.026213030121,0.00154328006160456,0.211381327220708,"preoligoBYo",24.1230062947286
"Ldlrap1",3.95333816141188,4.0233455218158,9.98451782993065,0.0015786188638971,0.211659303793913,"preoligoBYo",15.490782976614
"Nod1",4.03595361013805,3.49240474595388,9.57627601545141,0.0019710780915332,0.24636248937282,"preoligoBYo",16.4037483351763
"Mapk3",2.37690030394481,7.99986360725381,8.93774260817789,0.00279337724660224,0.302930807973438,"preoligoBYo",5.19419545862864
"Parvb",4.5204352939883,4.07520134879235,8.82650515602257,0.00296886414571687,0.315770103344684,"preoligoBYo",22.9502075245944
"Unc5b",5.19388298725373,3.51970703036367,8.00171597148093,0.00467330412509754,0.418222841639437,"preoligoBYo",36.602822275
"Acy3",5.21584406017162,4.13633250993131,7.80295897236953,0.00521607488337012,0.449008656205436,"preoligoBYo",37.1642621472043
"AC140244.1",6.04825111895941,4.75106229999559,7.53420769236209,0.00605383541198452,0.494202955052891,"preoligoBYo",66.1766849899539
"Ndrg1",5.62697012432963,3.14846981355323,7.27991746325831,0.00697297398476296,0.545099305529721,"preoligoBYo",49.4181851438036
"Pdlim2",4.66149057771924,5.46546946955444,7.18398503835641,0.00735571501084644,0.563210828028191,"preoligoBYo",25.3074558805139
"Gamt",4.02317925347014,7.03394265891881,7.05090733448795,0.00792251108950949,0.59013371324316,"preoligoBYo",16.2591423451874
"Car14",3.83002868322625,3.98240456937748,6.84124571474485,0.00890767009018365,0.624097854028981,"preoligoBYo",14.2217656486955
"Tmem123",2.47901171596095,4.90706607169507,6.83423769301249,0.00894268497614189,0.624097854028981,"preoligoBYo",5.57515422975407
"Stbd1",4.2323323619882,3.68359120056138,6.82150925364864,0.00900664219934888,0.624620518420675,"preoligoBYo",18.7957211195046
"Fam43a",3.08805719434923,6.92374847972685,6.68929114289668,0.00969937643536153,0.657719563435383,"preoligoBYo",8.50350250190602
"Gimap9",5.64180832213226,4.41084512449282,6.62760867268807,0.0100409976050298,0.672234556038372,"preoligoBYo",49.9290766646861
"Cd82",3.26911798047641,4.58904174278653,6.49673474503392,0.0108072792474233,0.697113986727268,"preoligoBYo",9.64056687240595
"Fhl3",3.34473900923127,4.59951807633536,6.47707575274369,0.0109274617867419,0.702756503221195,"preoligoBYo",10.1593698131059
"Gm9847",5.50567942822194,2.82105287860927,6.37116919848177,0.0115989149928071,0.732233146415515,"preoligoBYo",45.4333389082106
"Cdc42ep2",4.16089561394816,5.05667739160811,6.27659326462597,0.0122343070572668,0.758150070106201,"preoligoBYo",17.8876953062688
"Gm8388",2.34875937839527,5.0809393531304,6.09725326292016,0.0135392168247561,0.793534589870845,"preoligoBYo",5.09386024492563
"Aspa",5.42343039500409,3.52517676374354,5.82707522323479,0.0157813398490989,0.859927540595108,"preoligoBYo",42.9156039079921
"Icam2",7.16321195515262,7.65080752591874,5.74941583841051,0.0164941405952938,0.879276800938999,"preoligoBYo",143.331505909173
"Tmem63a",3.58605904827772,4.69788333269912,5.63776149483231,0.0175776358184885,0.906924043347383,"preoligoBYo",12.0091242932724
"Hapln2",7.4533612698343,4.32092201479419,5.58841053298806,0.0180796947417895,0.918310252364329,"preoligoBYo",175.261010245828
"Sh2d3c",3.15480672822364,3.78266943065489,5.58262016185341,0.0181395642671976,0.918310252364329,"preoligoBYo",8.90617974252988
"Plin3",2.36925944607003,4.62341751503095,5.54235273758,0.018561611961504,0.933269412328076,"preoligoBYo",5.16675847812279
"Tie1",6.27870011304727,4.86694195371097,5.51085115085029,0.0188988477007078,0.947823980997771,"preoligoBYo",77.6384877924436
